100>200,200>300,300>400,400>500,500>600,600>700
0.144385681,0.161338519,0.176910274,0.23873508,0.198436598,0.383761611
0.143647366,0.161730892,0.172607969,0.244946462,0.226715572,0.358219286
0.144759951,0.160470326,0.168262858,0.245370959,0.239014569,0.326199956
0.14590032,0.16022041,0.164668597,0.242887372,0.239082472,0.303739641
0.144621271,0.160144452,0.161503944,0.238977898,0.268582449,0.340837548
0.144735821,0.159915099,0.158571317,0.234156133,0.279912683,0.332989984
0.146447854,0.15956969,0.155640389,0.229017799,0.281936379,0.343038751
0.144551752,0.161161434,0.153802946,0.277215345,0.277215345,0.342783379
0.14662875,0.158973392,0.151418848,0.269179195,0.269179195,0.377192858
0.147532652,0.158556643,0.149489607,0.258530983,0.258530983,0.38408098
0.144492422,0.159281574,0.199983813,0.246469246,0.340837548,0.365435755
0.147224654,0.159395402,0.196012834,0.234829431,0.332989984,0.382021647
0.147181477,0.159114219,0.191546769,0.223910464,0.310526904,0.384649664
0.172824609,0.158913548,0.188789956,0.213697512,0.286771073,0.340992626
0.174279148,0.157553761,0.18831273,0.204923364,0.272850515,0.335405134
0.175750713,0.15863355,0.186998685,0.196662059,,0.30037551
0.175214048,0.16009917,0.183964116,0.258593244,0.324860436,0.355351987
0.175686544,0.157944949,0.183030212,0.241537903,0.311852393,0.369901993
0.175108674,0.157978008,0.180422881,0.221378762,0.293917559,0.328491066
0.177615938,0.158728652,0.1782232,0.210225852,0.272321402,0.337095203
0.176349723,0.159075872,0.176665503,0.201474974,0.253236135,0.325599438
0.175395903,0.158332437,0.175609455,0.181888924,,0.32725425
0.176517881,0.157266069,0.174217311,0.170722948,0.180477013,0.324860436
0.176590763,0.159559692,0.172816554,,0.217520177,0.224239199
0.177034363,0.157749374,0.171449989,,0.235147255,0.270673069
0.174992023,0.137428423,0.18350216,0.179704487,0.325313156,0.289070987
0.17188225,0.137749616,0.195147546,0.188169576,0.302602753,0.239082472
0.174588235,0.137547982,0.203627093,0.189033489,0.27724219,0.268582449
0.174214938,0.137809338,0.210016166,0.185915204,0.365435755,0.32725425
0.174450049,0.137322749,0.214481074,0.180261751,0.335619428,0.324860436
0.175299703,0.137664954,0.217114267,0.172590877,0.306055854,0.328491066
0.175859141,0.137178555,0.219324229,0.16940917,,0.337095203
0.173517873,0.137368668,0.219662406,,,0.325599438
0.176276942,0.137882625,0.218897074,0.281405008,0.327347187,0.33992774
0.176493521,0.137881932,0.218445732,0.258630255,0.306615688,0.339035003
0.177348109,0.18171761,0.217200723,0.238836431,0.281405008,0.321957524
0.17721933,0.179176582,0.214503609,0.222336202,0.258630255,0.343038751
0.17740715,0.178468317,0.213671064,0.208508209,0.238836431,0.342783379
0.17558364,0.177800968,0.212555895,0.197593005,0.222336202,0.325313156
0.143547143,0.178257468,0.210005102,0.188529457,,0.340992626
0.142488333,0.17665621,0.209992321,0.181101766,0.326199956,0.335405134
0.143724406,0.174514733,0.207258643,0.174811006,0.297301238,0.315802263
0.143980787,0.17501568,0.205211973,0.255239325,0.27340504,0.335699365
0.143246288,0.175240708,0.201207898,0.236006014,0.254302584,0.327347187
0.143691143,0.173707352,0.199471182,0.220048868,0.239336013,0.309998558
0.14476008,0.173768113,0.201633025,0.207148725,0.332989984,0.331004497
0.143633484,0.1720221,0.19964463,0.196643427,0.310526904,0.322745793
0.143477947,0.171175237,0.197550223,0.187685153,0.286771073,0.303739641
0.144720755,0.171978082,0.195544713,0.180362941,0.331516104,0.340837548
0.177845518,0.170958445,0.194712958,,0.373743747,0.332989984
0.182964184,0.166886592,0.27425831,0.240613702,0.399835341,0.338354997
0.184330432,0.166069504,0.265921803,0.273145309,0.362036732,0.383044646
0.186583068,0.166791808,0.258227061,0.292019058,0.331440343,0.383488294
0.185356478,0.167158637,0.251455425,0.298301381,0.31608967,
0.185560626,0.166861071,0.243911462,0.300072588,0.291767836,
0.186644661,0.167631455,0.23849617,0.296303843,0.266810033,
0.187984825,0.166733046,0.231970757,0.289137554,0.360060946,
0.186428171,0.167413998,0.228138442,0.280747036,0.334970894,
0.188108408,0.167516962,0.22275592,,0.308523612,
0.18521796,0.167701769,0.217833353,0.253236135,0.325599438,
0.187490067,0.168064215,0.215164965,0.235848526,0.30461568,
0.187932841,0.170186413,0.216313522,0.221031283,0.280080952,
0.18930823,0.170774024,0.210318604,0.20815028,0.257563366,
0.190028348,0.170134076,0.206081278,0.198271098,0.292516531,
0.188925143,0.169515149,0.201897826,0.189526027,0.287714829,
0.189769693,0.168613924,0.196730674,0.181944488,0.276254896,
0.188943724,0.169391457,0.19279062,0.17602095,0.207740205,
0.189590334,0.169624435,0.189705232,0.170505183,0.232816679,
0.188728367,0.168437462,0.187863324,,0.244844023,
0.192097262,0.168336822,0.185943502,0.297301238,0.249474642,
0.190887078,0.168296815,0.184027434,0.27340504,0.249235139,
0.192320619,0.168449185,0.183414228,0.254302584,0.273386326,
0.192589078,0.168081817,0.181435951,0.239336013,0.251850898,
0.19138011,0.168352148,0.180565741,0.226996141,0.27724219,
0.191714941,0.168129856,0.180170764,0.217453257,0.255239325,
0.140954497,0.170427494,0.193820744,0.209139936,,
0.142750748,0.170314053,0.208413764,0.202504358,0.258630255,
0.142227685,0.169704304,0.2165191,,,
0.141791312,0.170264946,0.218190384,0.254853066,0.322745793,
0.141738641,0.170483865,0.21801103,0.235398428,0.301869484,
0.141795572,0.170275023,0.2162732,0.219703446,0.276893784,
0.142259378,0.16991848,0.214785915,0.206799328,0.279912683,
0.142270222,0.169979465,0.212475784,0.196111374,0.281936379,
0.141054782,0.170839325,0.209564543,0.187223333,0.277215345,
0.142939195,0.170112885,0.207075333,0.180306418,0.266810033,
0.180881193,0.170300756,0.203292201,,0.24642261,
0.183418149,0.187112932,0.202036057,0.235147255,,
0.183074975,0.188756676,0.199008729,0.243462952,,
0.182991526,0.182025293,0.196499115,0.24569736,,
0.181582343,0.176021237,0.194904996,0.244045183,,
0.184265769,0.175105142,0.191726266,0.240965591,,
0.183690018,0.172928212,0.19038504,0.236205588,,
0.183743312,0.173707479,0.188831079,0.231274948,,
0.185896692,0.171994564,0.186494663,0.225841253,,
0.184938935,0.171931483,0.184713171,0.22033425,,
0.184947134,0.172879549,0.18416225,0.384300806,,
0.183090865,0.171869543,0.183633876,0.370071887,,
0.187550367,0.172202517,0.181647179,0.353874244,,
0.184847516,0.172797719,0.181158167,0.335354781,,
0.183820202,0.173234352,0.180665642,0.319484116,,
0.140284833,0.176092036,0.225841253,0.304197815,,
0.140179943,0.17684645,0.22033425,0.292434257,,
0.140486206,0.176375336,0.214768675,0.280876297,,
0.140607177,0.176168732,0.208942722,0.306055854,,
0.14050307,0.176460617,0.204218404,0.280668874,,
0.141072776,0.176940316,0.199398725,0.260216942,,
0.141322584,0.177043419,0.194852492,0.244065242,,
0.140567304,0.178151218,0.190504758,0.230689604,,
0.142204848,0.177126331,0.186720785,0.220892886,,
0.142046573,0.17697128,0.183256083,0.277238383,,
0.142149899,0.176918122,0.179863488,0.25727935,,
0.142350014,0.178470742,0.177302714,0.241148577,,
0.142449274,0.177582429,0.174086869,0.228909238,,
0.142979308,0.178124311,0.171415945,0.218420896,,
0.142603848,0.178896378,0.16895613,0.210376815,,
0.143515025,0.179008927,0.160398641,0.24642261,,
0.142856172,0.178039382,0.156755626,0.228708572,,
0.143229022,0.178574807,0.154198181,0.213877819,,
0.143836218,0.180555476,0.151332486,0.201870907,,
0.144191249,0.178919526,0.148918644,0.192158413,,
0.144161583,0.180671915,0.146794464,0.183916909,,
0.144818504,0.180090976,0.145374669,0.177359228,,
0.144111976,0.179799124,0.143865904,0.244109883,,
0.144085715,0.180023166,0.142630545,0.240814924,,
0.141276467,0.181074077,0.232629004,0.236209033,,
0.140207197,0.13453598,0.227310593,0.23099091,,
0.140221019,0.134859488,0.221611851,0.225180788,,
0.141223708,0.134792979,0.21678726,0.219529954,,
0.139734358,0.134551384,0.212323147,0.238401158,,
0.140246661,0.134660131,0.208606471,0.22195675,,
0.140748829,0.135064834,0.204485362,0.208612663,,
0.140464827,0.135711807,0.199983813,0.197421866,,
0.141865004,0.13484423,0.196012834,0.188443264,,
0.139126137,0.135648888,0.191546769,0.180879317,,
0.139525323,0.135409507,0.188789956,0.174595833,,
0.138661444,0.135275771,0.197657914,0.263619941,,
0.139985159,0.159915099,0.192721912,0.249625819,,
0.139367933,0.15956969,0.188436481,0.236150303,,
0.139440909,0.161161434,0.185220783,0.22407047,,
0.140150367,0.158973392,0.181671659,0.213130823,,
0.139381261,0.158556643,0.179397544,0.204102836,,
0.139107507,0.159281574,0.177370869,0.311852393,,
0.13886265,0.159395402,0.174959435,0.293917559,,
0.139437469,0.159114219,0.173619046,0.272321402,,
0.139684257,0.158913548,0.172242288,0.253236135,,
0.139559437,0.157553761,0.171052067,0.30461568,,
0.139874058,0.15863355,0.154803897,0.280080952,,
0.156234392,0.171090808,0.152181993,0.257563366,,
0.156838733,0.171566948,0.149845332,0.238401158,,
0.156782648,0.171549343,0.147854408,,,
0.156039552,0.172330153,0.145393691,,,
0.158524687,0.172168609,0.143964646,,,
0.155890217,0.172919347,0.142456003,,,
0.156021423,0.173431328,0.141403278,,,
0.155429236,0.173173735,0.140064894,,,
0.157539523,0.174483134,0.208523372,,,
0.156556255,0.167649789,0.203296306,,,
0.158478069,0.167895145,0.198481022,,,
0.161369939,0.168046624,0.193895091,,,
0.161219897,0.168653554,0.189315412,,,
0.167436328,0.16962002,0.185207674,,,
0.161288936,0.168353492,0.181214748,,,
0.162016883,0.169418321,0.177805603,,,
0.167988862,0.169455081,0.175259819,,,
